Release  Id : 110	Personal Income by State
NHWCON                        Construction Wages and Salaries in New Hampshire                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWDUR                        Durable Manufacturing Wages and Salaries in New Hampshire                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWEDU                        Educational Services Wages and Salaries in New Hampshire                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWFIN                        Finance and Insurance Wages and Salaries in New Hampshire                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in New Hampshire                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWHEA                        Health Care and Social Assistance Wages and Salaries in New Hampshire                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWINF                        Information Wages and Salaries in New Hampshire                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWMAN                        Management of Companies and Enterprises Wages and Salaries in New Hampshire                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWMIN                        Mining Wages and Salaries in New Hampshire                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWNON                        Nondurable Manufacturing Wages and Salaries in New Hampshire                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWOTH                        Other Services (Except Public Administration) Wages and Salaries in New Hampshire                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWPRO                        Professional and Technical Services Wages and Salaries in New Hampshire                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWREA                        Real Estate, Rental and Leasing Wages and Salaries in New Hampshire                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWRET                        Retail Trade Wages and Salaries in New Hampshire                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWTOT                        Total Wages and Salaries in New Hampshire                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWTRA                        Transportation and Warehousing Wages and Salaries in New Hampshire                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWUTI                        Utilities Wages and Salaries in New Hampshire                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NHWWHO                        Wholesale Trade Wages and Salaries in New Hampshire                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEACC                        Accommodation and Food Services Earnings in New Jersey                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEADJ                        Residence Adjustment in New Jersey                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEADM                        Administrative and Waste Services Earnings in New Jersey                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEART                        Arts, Entertainment and Recreation Earnings in New Jersey                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJECON                        Construction Earnings in New Jersey                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEDUR                        Durable Manufacturing Earnings in New Jersey                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEEDU                        Educational Services Earnings in New Jersey                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEFIN                        Finance and Insurance Earnings in New Jersey                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in New Jersey                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEHEA                        Health Care and Social Assistance Earnings in New Jersey                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEINF                        Information Earnings in New Jersey                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEMAN                        Management of Companies and Enterprises Earnings in New Jersey                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEMIN                        Mining Earnings in New Jersey                                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJENET                        Net Earnings by Place of Residence in New Jersey                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJENON                        Nondurable Manufacturing Earnings in New Jersey                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEOTH                        Other Services (except Public Administration) Earnings in New Jersey                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEPLA                        Earnings by Place of Work in New Jersey                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEPRO                        Professional and Technical Services Earnings in New Jersey                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEREA                        Real Estate, Rental and Leasing Earnings in New Jersey                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJERET                        Retail Trade Earnings in New Jersey                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJETRA                        Transportation and Warehousing Earnings in New Jersey                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEUTI                        Utilities Earnings in New Jersey                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJEWHO                        Wholesale Trade Earnings in New Jersey                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJOBEN                        State Unemployment Benefits in New Jersey                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJODIV                        Dividends, Interest and Rent in New Jersey                                                                               M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJOFAR                        Proprietors' Farm Income in New Jersey                                                                                   M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJONON                        Proprietors' Nonfarm Income in New Jersey                                                                                M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJOOTH                        Other Labor Income in New Jersey                                                                                         M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJOSOC                        Personal Contributions for Social Insurance in New Jersey                                                                M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJOTOT                        Total Personal Income in New Jersey                                                                                      M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJOTRA                        Transfers less State Unemployment Benefits in New Jersey (DISCONTINUED)                                                  M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
NJPCPI                        Per Capita Personal Income in New Jersey                                                                                   NSA  30-Sep-2022 01-Jan-2021             Annual             
NJWACC                        Accommodation and Food Services Wages and Salaries in New Jersey                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWADM                        Administrative and Waste Services Wages and Salaries in New Jersey                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWART                        Arts, Entertainment and Recreation Wages and Salaries in New Jersey                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWCON                        Construction Wages and Salaries in New Jersey                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWDUR                        Durable Manufacturing Wages and Salaries in New Jersey                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWEDU                        Educational Services Wages and Salaries in New Jersey                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWFIN                        Finance and Insurance Wages and Salaries in New Jersey                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in New Jersey                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWHEA                        Health Care and Social Assistance Wages and Salaries in New Jersey                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWINF                        Information Wages and Salaries in New Jersey                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWMAN                        Management of Companies and Enterprises Wages and Salaries in New Jersey                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWMIN                        Mining Wages and Salaries in New Jersey                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWNON                        Nondurable Manufacturing Wages and Salaries in New Jersey                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWOTH                        Other Services (Except Public Administration) Wages and Salaries in New Jersey                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWPRO                        Professional and Technical Services Wages and Salaries in New Jersey                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWREA                        Real Estate, Rental and Leasing Wages and Salaries in New Jersey                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWRET                        Retail Trade Wages and Salaries in New Jersey                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWTOT                        Total Wages and Salaries in New Jersey                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWTRA                        Transportation and Warehousing Wages and Salaries in New Jersey                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWUTI                        Utilities Wages and Salaries in New Jersey                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NJWWHO                        Wholesale Trade Wages and Salaries in New Jersey                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEACC                        Accommodation and Food Services Earnings in New Mexico                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEADJ                        Residence Adjustment in New Mexico                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEADM                        Administrative and Waste Services Earnings in New Mexico                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEART                        Arts, Entertainment and Recreation Earnings in New Mexico                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMECON                        Construction Earnings in New Mexico                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEDUR                        Durable Manufacturing Earnings in New Mexico                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEEDU                        Educational Services Earnings in New Mexico                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEFIN                        Finance and Insurance Earnings in New Mexico                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in New Mexico                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEHEA                        Health Care and Social Assistance Earnings in New Mexico                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEINF                        Information Earnings in New Mexico                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEMAN                        Management of Companies and Enterprises Earnings in New Mexico                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEMIN                        Mining Earnings in New Mexico                                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMENET                        Net Earnings by Place of Residence in New Mexico                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMENON                        Nondurable Manufacturing Earnings in New Mexico                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEOTH                        Other Services (except Public Administration) Earnings in New Mexico                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEPLA                        Earnings by Place of Work in New Mexico                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEPRO                        Professional and Technical Services Earnings in New Mexico                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEREA                        Real Estate, Rental and Leasing Earnings in New Mexico                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMERET                        Retail Trade Earnings in New Mexico                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMETRA                        Transportation and Warehousing Earnings in New Mexico                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEUTI                        Utilities Earnings in New Mexico                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMEWHO                        Wholesale Trade Earnings in New Mexico                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMOBEN                        State Unemployment Benefits in New Mexico                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMODIV                        Dividends, Interest and Rent in New Mexico                                                                               M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMOFAR                        Proprietors' Farm Income in New Mexico                                                                                   M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMONON                        Proprietors' Nonfarm Income in New Mexico                                                                                M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMOOTH                        Other Labor Income in New Mexico                                                                                         M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMOSOC                        Personal Contributions for Social Insurance in New Mexico                                                                M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMOTOT                        Total Personal Income in New Mexico                                                                                      M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMOTRA                        Transfers less State Unemployment Benefits in New Mexico (DISCONTINUED)                                                  M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
NMPCPI                        Per Capita Personal Income in New Mexico                                                                                   NSA  30-Sep-2022 01-Jan-2021             Annual             
NMWACC                        Accommodation and Food Services Wages and Salaries in New Mexico                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWADM                        Administrative and Waste Services Wages and Salaries in New Mexico                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWART                        Arts, Entertainment and Recreation Wages and Salaries in New Mexico                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWCON                        Construction Wages and Salaries in New Mexico                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWDUR                        Durable Manufacturing Wages and Salaries in New Mexico                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWEDU                        Educational Services Wages and Salaries in New Mexico                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWFIN                        Finance and Insurance Wages and Salaries in New Mexico                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in New Mexico                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWHEA                        Health Care and Social Assistance Wages and Salaries in New Mexico                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWINF                        Information Wages and Salaries in New Mexico                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWMAN                        Management of Companies and Enterprises Wages and Salaries in New Mexico                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWMIN                        Mining Wages and Salaries in New Mexico                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWNON                        Nondurable Manufacturing Wages and Salaries in New Mexico                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWOTH                        Other Services (Except Public Administration) Wages and Salaries in New Mexico                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWPRO                        Professional and Technical Services Wages and Salaries in New Mexico                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWREA                        Real Estate, Rental and Leasing Wages and Salaries in New Mexico                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWRET                        Retail Trade Wages and Salaries in New Mexico                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWTOT                        Total Wages and Salaries in New Mexico                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWTRA                        Transportation and Warehousing Wages and Salaries in New Mexico                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWUTI                        Utilities Wages and Salaries in New Mexico                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NMWWHO                        Wholesale Trade Wages and Salaries in New Mexico                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEACC                        Accommodation and Food Services Earnings in Nevada                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEADJ                        Residence Adjustment in Nevada                                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEADM                        Administrative and Waste Services Earnings in Nevada                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEART                        Arts, Entertainment and Recreation Earnings in Nevada                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVECON                        Construction Earnings in Nevada                                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEDUR                        Durable Manufacturing Earnings in Nevada                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEEDU                        Educational Services Earnings in Nevada                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEFIN                        Finance and Insurance Earnings in Nevada                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in Nevada                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEHEA                        Health Care and Social Assistance Earnings in Nevada                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEINF                        Information Earnings in Nevada                                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEMAN                        Management of Companies and Enterprises Earnings in Nevada                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEMIN                        Mining Earnings in Nevada                                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVENET                        Net Earnings by Place of Residence in Nevada                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVENON                        Nondurable Manufacturing Earnings in Nevada                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEOTH                        Other Services (except Public Administration) Earnings in Nevada                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEPLA                        Earnings by Place of Work in Nevada                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEPRO                        Professional and Technical Services Earnings in Nevada                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEREA                        Real Estate, Rental and Leasing Earnings in Nevada                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVERET                        Retail Trade Earnings in Nevada                                                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVETRA                        Transportation and Warehousing Earnings in Nevada                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEUTI                        Utilities Earnings in Nevada                                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVEWHO                        Wholesale Trade Earnings in Nevada                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVOBEN                        State Unemployment Benefits in Nevada                                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVODIV                        Dividends, Interest and Rent in Nevada                                                                                   M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVOFAR                        Proprietors' Farm Income in Nevada                                                                                       M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVONON                        Proprietors' Nonfarm Income in Nevada                                                                                    M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVOOTH                        Other Labor Income in Nevada                                                                                             M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVOSOC                        Personal Contributions for Social Insurance in Nevada                                                                    M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVOTOT                        Total Personal Income in Nevada                                                                                          M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVOTRA                        Transfers less State Unemployment Benefits in Nevada (DISCONTINUED)                                                      M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
NVPCPI                        Per Capita Personal Income in Nevada                                                                                       NSA  30-Sep-2022 01-Jan-2021             Annual             
NVWACC                        Accommodation and Food Services Wages and Salaries in Nevada                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWADM                        Administrative and Waste Services Wages and Salaries in Nevada                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWART                        Arts, Entertainment and Recreation Wages and Salaries in Nevada                                                          T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWCON                        Construction Wages and Salaries in Nevada                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWDUR                        Durable Manufacturing Wages and Salaries in Nevada                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWEDU                        Educational Services Wages and Salaries in Nevada                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWFIN                        Finance and Insurance Wages and Salaries in Nevada                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWFOR                        Forestry, Fishing, Related Activities and Other Wages and Salaries in Nevada                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWHEA                        Health Care and Social Assistance Wages and Salaries in Nevada                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWINF                        Information Wages and Salaries in Nevada                                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWMAN                        Management of Companies and Enterprises Wages and Salaries in Nevada                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWMIN                        Mining Wages and Salaries in Nevada                                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWNON                        Nondurable Manufacturing Wages and Salaries in Nevada                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWOTH                        Other Services (Except Public Administration) Wages and Salaries in Nevada                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWPRO                        Professional and Technical Services Wages and Salaries in Nevada                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWREA                        Real Estate, Rental and Leasing Wages and Salaries in Nevada                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWRET                        Retail Trade Wages and Salaries in Nevada                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWTOT                        Total Wages and Salaries in Nevada                                                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWTRA                        Transportation and Warehousing Wages and Salaries in Nevada                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWUTI                        Utilities Wages and Salaries in Nevada                                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NVWWHO                        Wholesale Trade Wages and Salaries in Nevada                                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEACC                        Accommodation and Food Services Earnings in New York                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEADJ                        Residence Adjustment in New York                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEADM                        Administrative and Waste Services Earnings in New York                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEART                        Arts, Entertainment and Recreation Earnings in New York                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYECON                        Construction Earnings in New York                                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEDUR                        Durable Manufacturing Earnings in New York                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEEDU                        Educational Services Earnings in New York                                                                                T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEFIN                        Finance and Insurance Earnings in New York                                                                               T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEFOR                        Forestry, Fishing, Related Activities, and Other Earnings in New York                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEHEA                        Health Care and Social Assistance Earnings in New York                                                                   T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEINF                        Information Earnings in New York                                                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEMAN                        Management of Companies and Enterprises Earnings in New York                                                             T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEMIN                        Mining Earnings in New York                                                                                              T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYENET                        Net Earnings by Place of Residence in New York                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYENON                        Nondurable Manufacturing Earnings in New York                                                                            T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEOTH                        Other Services (except Public Administration) Earnings in New York                                                       T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEPLA                        Earnings by Place of Work in New York                                                                                    T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEPRO                        Professional and Technical Services Earnings in New York                                                                 T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEREA                        Real Estate, Rental and Leasing Earnings in New York                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYERET                        Retail Trade Earnings in New York                                                                                        T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYETRA                        Transportation and Warehousing Earnings in New York                                                                      T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEUTI                        Utilities Earnings in New York                                                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYEWHO                        Wholesale Trade Earnings in New York                                                                                     T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYOBEN                        State Unemployment Benefits in New York                                                                                  T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYODIV                        Dividends, Interest and Rent in New York                                                                                 M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYOFAR                        Proprietors' Farm Income in New York                                                                                     M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYONON                        Proprietors' Nonfarm Income in New York                                                                                  M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYOOTH                        Other Labor Income in New York                                                                                           M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYOSOC                        Personal Contributions for Social Insurance in New York                                                                  M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYOTOT                        Total Personal Income in New York                                                                                        M SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYOTRA                        Transfers less State Unemployment Benefits in New York (DISCONTINUED)                                                    M SAAR 01-Jul-2013 01-Jan-2013             Quarterly          
NYPCPI                        Per Capita Personal Income in New York                                                                                     NSA  30-Sep-2022 01-Jan-2021             Annual             
NYWACC                        Accommodation and Food Services Wages and Salaries in New York                                                           T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
NYWADM                        Administrative and Waste Services Wages and Salaries in New York                                                         T SAAR 30-Sep-2022 01-Apr-2022             Quarterly          
